competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
43761,Ben Smith,Ben,Smith,ACT,,M,eab2e-P43761_13-184.jpg,US,United States,,31,North America,1,4933,CrossFit Krypton,32,71 in,195 lb,0,13,282
505544,Hal Fisher,Hal,Fisher,ACT,,M,15625-P505544_2-184.jpg,US,United States,,31,North America,1,4917,CrossFit Trivium,25,69 in,193 lb,0,14,277
325873,Garrett Clark,Garrett,Clark,ACT,,M,43733-P325873_3-184.jpg,US,United States,,31,North America,1,1835,Three Kings CrossFit,23,69 in,195 lb,0,15,272
473970,Brian Huynh,Brian,Huynh,ACT,,M,44303-P473970_1-184.jpg,US,United States,,31,North America,1,14281,CrossFit Franco's,28,69 in,180 lb,0,16,270
99564,Alec Smith,Alec,Smith,ACT,,M,582fc-P99564_3-184.jpg,US,United States,,31,North America,1,4933,CrossFit Krypton,29,71 in,185 lb,0,17,263
402035,Mark Hutchinson,Mark,Hutchinson,ACT,,M,05faf-P402035_6-184.jpg,US,United States,,31,North America,1,20398,TriForce CrossFit,34,71 in,218 lb,0,18,255
1169278,Mathias Porter,Mathias,Porter,ACT,,M,men-square.jpg,US,United States,,31,North America,1,4933,CrossFit Krypton,26,71 in,205 lb,0,19,246
1045503,Spencer Arey,Spencer,Arey,ACT,,M,a000f-P1045503_4-184.jpg,US,United States,,31,North America,1,220,CrossFit Vitality,23,69 in,170 lb,0,20,237
367955,Mike Evans,Mike,Evans,ACT,,M,12c4f-P367955_1-184.jpg,US,United States,,31,North America,1,11854,CrossFit XD,25,70 in,195 lb,0,21,227
1031875,Roldan Goldbaum,Roldan,Goldbaum,ACT,,M,75053-P1031875_3-184.jpg,MX,Mexico,,31,North America,1,21264,Strong Suit CrossFit,22,170 cm,90 kg,0,22,211
117991,Dex Hopkins,Dex,Hopkins,ACT,,M,42f53-P117991_11-184.jpg,US,United States,,31,North America,1,18076,CrossFit Tupelo,33,74 in,210 lb,0,23,192
449514,Mike McDonald,Mike,McDonald,ACT,,M,709f4-P449514_2-184.jpg,US,United States,,31,North America,1,15471,CrossFit Crash,31,72 in,195 lb,0,24,186
34435,Tristan Maiorano,Tristan,Maiorano,ACT,,M,32e7c-P34435_3-184.jpg,US,United States,,31,North America,1,16077,Ocean State CrossFit,27,71 in,195 lb,0,25,177
478734,Raymond Romanick,Raymond,Romanick,ACT,,M,85d4b-P478734_3-184.jpg,US,United States,,31,North America,1,18632,CrossFit Bethesda,28,71 in,195 lb,0,26,148
487845,Vicente Azua Jr,Vicente,Azua Jr,ACT,,M,305ac-P487845_4-184.jpg,US,United States,,31,North America,1,708,IMT CrossFit,30,69 in,190 lb,0,27,147
1209621,Daniel Sterling,Daniel,Sterling,ACT,,M,men-square.jpg,US,United States,,31,North America,1,2376,CrossFit Wando,21,5 in,192 lb,0,28,135
34796,Scott Panchik,Scott,Panchik,WD,,M,e23e0-P34796_8-184.jpg,US,United States,,31,North America,1,7991,CrossFit Mentality,34,69 in,187 lb,0,29,213
