competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
887297.0,Emma Tall,Emma,Tall,F,Sweden,Europe,29213.0,High Performance CrossFit,31.0,168 cm,68 kg,,0.0,2023,games
698210.0,Karin Freyová,Karin,Freyová,F,Slovakia,Europe,22093.0,Alpha Prime CrossFit,28.0,170 cm,72 kg,,0.0,2023,games
1983424.0,Elisa Fuliano,Elisa,Fuliano,F,Italy,Europe,16895.0,CrossFit Altessano,27.0,157 cm,60 kg,,0.0,2023,games
764556.0,Gabriela Migała,Gabriela,Migała,F,Poland,Europe,7709.0,CrossFit 72D,24.0,170 cm,75 kg,,0.0,2023,games
953791.0,Shahad Budebs,Shahad,Budebs,F,United Arab Emirates,Asia,31536.0,CrossFit Moon,28.0,160 cm,60 kg,,0.0,2023,games
485344.0,Rebecka Vitesson,Rebecka,Vitesson,F,Sweden,Europe,859.0,CrossFit Butcher's Lab,29.0,173 cm,65 kg,,0.0,2023,games
831149.0,Matilde Garnes,Matilde,Garnes,F,Norway,Europe,372.0,CrossFit Oslo,27.0,174 cm,70 kg,,0.0,2023,games
998366.0,Ella Wunger,Ella,Wunger,F,Sweden,Europe,12162.0,C23 CrossFit,25.0,170 cm,70 kg,,0.0,2023,games
686626.0,Manon Angonese,Manon,Angonese,F,Belgium,Europe,,,30.0,163 cm,69 kg,,0.0,2023,games
591912.0,Laura Horvath,Laura,Horvath,F,Hungary,Europe,22540.0,CrossFit Glasshouse,26.0,170 cm,70 kg,,0.0,2023,games
239442.0,Emma McQuaid,Emma,McQuaid,F,Ireland,Europe,29324.0,Crooked Lake CrossFit,33.0,165 cm,67 kg,,0.0,2023,games
221169.0,Victoria Campos,Victoria,Campos,F,Brazil,South America,3220.0,CrossFit Mayhem,30.0,161 cm,140 lb,,0.0,2023,games
585046.0,Baylee Rayl,Baylee,Rayl,F,United States,North America West,,,27.0,67 in,135 lb,,0.0,2023,games
747027.0,Kelly Baker,Kelly,Baker,F,United States,North America West,26399.0,CrossFit Greater Heights,31.0,64 in,150 lb,,0.0,2023,games
2012971.0,Alexia Williams,Alexia,Williams,F,Argentina,South America,31497.0,WTC CrossFit,24.0,169 cm,70 kg,,0.0,2023,games
1232297.0,Alex Gazan,Alex,Gazan,F,United States,North America West,6103.0,Rhino CrossFit,21.0,66 in,150 lb,,0.0,2023,games
349097.0,Danielle Brandon,Danielle,Brandon,F,United States,North America East,1893.0,CrossFit Naples,27.0,170 cm,150 lb,,0.0,2023,games
2077209.0,Abigail Domit,Abigail,Domit,F,United States,North America West,770.0,Lone Star CrossFit,25.0,67 in,147 lb,,0.0,2023,games
484380.0,Emily Rolfe,Emily,Rolfe,F,Canada,North America West,22956.0,CrossFit Sea Level,34.0,170 cm,152 lb,,0.0,2023,games
1269411.0,Olivia Kerstetter,Olivia,Kerstetter,F,United States,North America West,3623.0,Solution 1 CrossFit,17.0,65 in,160 lb,,0.0,2023,games
55121.0,Katrin Tanja Davidsdottir,Katrin Tanja,Davidsdottir,F,United States,North America West,616.0,CrossFit Coeur d'Alene,30.0,169 cm,152 lb,,0.0,2023,games
132258.0,Arielle Loewen,Arielle,Loewen,F,United States,North America West,,,29.0,63 in,150 lb,,0.0,2023,games
1240398.0,Emily de Rooy,Emily,de Rooy,F,Australia,Oceania,3235.0,CrossFit Townsville,22.0,174 cm,75 kg,,0.0,2023,games
1119323.0,Ellie Turner,Ellie,Turner,F,Australia,Oceania,1792.0,CrossFit Fort Vancouver,25.0,167 cm,72 kg,,0.0,2023,games
656004.0,Christine Kolenbrander,Christine,Kolenbrander,F,United States,North America West,29609.0,CrossFit 417,31.0,66 in,154 lb,,0.0,2023,games
264512.0,Jamie Simmonds,Jamie,Simmonds,F,New Zealand,Oceania,10868.0,CrossFit Yas,32.0,163 cm,135 lb,,0.0,2023,games
592472.0,Bethany Flores,Bethany,Flores,F,United States,North America West,29075.0,Next Level CrossFit,29.0,64 in,144 lb,,0.0,2023,games
893554.0,Michelle Basnett,Michelle,Basnett,F,South Africa,Africa,931.0,CrossFit Charlotte,26.0,64 in,152 lb,,0.0,2023,games
252691.0,Feeroozeh Saghafi,Feeroozeh,Saghafi,F,United States,North America East,1893.0,CrossFit Naples,28.0,61 in,133 lb,,0.0,2023,games
1931423.0,Emma Lawson,Emma,Lawson,F,Canada,North America East,21726.0,CrossFit PSC,18.0,65 in,140 lb,,0.0,2023,games
1190381.0,Paige Powers,Paige,Powers,F,United States,North America East,3220.0,CrossFit Mayhem,20.0,64 in,155 lb,,0.0,2023,games
530860.0,Shelby Neal,Shelby,Neal,F,United States,North America East,10851.0,12th State CrossFit,23.0,62 in,150 lb,,0.0,2023,games
531598.0,Paige Semenza,Paige,Semenza,F,United States,North America East,4938.0,CrossFit Vertex,31.0,63 in,147 lb,,0.0,2023,games
872275.0,Caroline Stanley,Caroline,Stanley,F,United States,North America East,3617.0,College Hill CrossFit,23.0,63 in,145 lb,,0.0,2023,games
174547.0,Amanda Barnhart,Amanda,Barnhart,F,United States,North America East,14583.0,CrossFit High Gear,31.0,67 in,160 lb,,0.0,2023,games
